"metric","value"
"Query",1
"Merge",0
"Move",0
"PartMutation",0
"ReplicatedFetch",0
"ReplicatedSend",0
"ReplicatedChecks",0
"BackgroundMergesAndMutationsPoolTask",0
"BackgroundMergesAndMutationsPoolSize",64
"BackgroundFetchesPoolTask",0
"BackgroundFetchesPoolSize",32
"BackgroundCommonPoolTask",0
"BackgroundCommonPoolSize",16
"BackgroundMovePoolTask",0
"BackgroundMovePoolSize",16
"BackgroundSchedulePoolTask",0
"BackgroundSchedulePoolSize",512
"BackgroundBufferFlushSchedulePoolTask",0
"BackgroundBufferFlushSchedulePoolSize",16
"BackgroundDistributedSchedulePoolTask",0
"BackgroundDistributedSchedulePoolSize",16
"BackgroundMessageBrokerSchedulePoolTask",0
"BackgroundMessageBrokerSchedulePoolSize",16
"CacheDictionaryUpdateQueueBatches",0
"CacheDictionaryUpdateQueueKeys",0
"DiskSpaceReservedForMerge",0
"DistributedSend",0
"QueryPreempted",0
"TCPConnection",1
"MySQLConnection",0
"HTTPConnection",0
"InterserverConnection",0
"PostgreSQLConnection",0
"OpenFileForRead",14
"OpenFileForWrite",0
"TotalTemporaryFiles",0
"TemporaryFilesForSort",0
"TemporaryFilesForAggregation",0
"TemporaryFilesForJoin",0
"TemporaryFilesUnknown",0
"Read",2
"RemoteRead",0
"Write",0
"NetworkReceive",0
"NetworkSend",0
"SendScalars",0
"SendExternalTables",0
"QueryThread",0
"ReadonlyReplica",0
"MemoryTracking",1270999152
"MergesMutationsMemoryTracking",0
"EphemeralNode",0
"ZooKeeperSession",0
"ZooKeeperWatch",0
"ZooKeeperRequest",0
"DelayedInserts",0
"ContextLockWait",0
"StorageBufferRows",0
"StorageBufferBytes",0
"DictCacheRequests",0
"Revision",54486
"VersionInteger",24005001
"RWLockWaitingReaders",0
"RWLockWaitingWriters",0
"RWLockActiveReaders",1
"RWLockActiveWriters",0
"GlobalThread",714
"GlobalThreadActive",651
"GlobalThreadScheduled",651
"LocalThread",0
"LocalThreadActive",0
"LocalThreadScheduled",0
"MergeTreeDataSelectExecutorThreads",0
"MergeTreeDataSelectExecutorThreadsActive",0
"MergeTreeDataSelectExecutorThreadsScheduled",0
"BackupsThreads",0
"BackupsThreadsActive",0
"BackupsThreadsScheduled",0
"RestoreThreads",0
"RestoreThreadsActive",0
"RestoreThreadsScheduled",0
"MarksLoaderThreads",0
"MarksLoaderThreadsActive",0
"MarksLoaderThreadsScheduled",0
"IOPrefetchThreads",0
"IOPrefetchThreadsActive",0
"IOPrefetchThreadsScheduled",0
"IOWriterThreads",0
"IOWriterThreadsActive",0
"IOWriterThreadsScheduled",0
"IOThreads",0
"IOThreadsActive",0
"IOThreadsScheduled",0
"ThreadPoolRemoteFSReaderThreads",0
"ThreadPoolRemoteFSReaderThreadsActive",0
"ThreadPoolRemoteFSReaderThreadsScheduled",0
"ThreadPoolFSReaderThreads",0
"ThreadPoolFSReaderThreadsActive",0
"ThreadPoolFSReaderThreadsScheduled",0
"BackupsIOThreads",0
"BackupsIOThreadsActive",0
"BackupsIOThreadsScheduled",0
"DiskObjectStorageAsyncThreads",0
"DiskObjectStorageAsyncThreadsActive",0
"StorageHiveThreads",0
"StorageHiveThreadsActive",0
"StorageHiveThreadsScheduled",0
"TablesLoaderBackgroundThreads",0
"TablesLoaderBackgroundThreadsActive",0
"TablesLoaderBackgroundThreadsScheduled",0
"TablesLoaderForegroundThreads",0
"TablesLoaderForegroundThreadsActive",0
"TablesLoaderForegroundThreadsScheduled",0
"DatabaseOnDiskThreads",0
"DatabaseOnDiskThreadsActive",0
"DatabaseOnDiskThreadsScheduled",0
"DatabaseCatalogThreads",0
"DatabaseCatalogThreadsActive",0
"DatabaseCatalogThreadsScheduled",0
"DestroyAggregatesThreads",0
"DestroyAggregatesThreadsActive",0
"DestroyAggregatesThreadsScheduled",0
"HashedDictionaryThreads",0
"HashedDictionaryThreadsActive",0
"HashedDictionaryThreadsScheduled",0
"CacheDictionaryThreads",0
"CacheDictionaryThreadsActive",0
"CacheDictionaryThreadsScheduled",0
"ParallelFormattingOutputFormatThreads",0
"ParallelFormattingOutputFormatThreadsActive",0
"ParallelFormattingOutputFormatThreadsScheduled",0
"ParallelParsingInputFormatThreads",0
"ParallelParsingInputFormatThreadsActive",0
"ParallelParsingInputFormatThreadsScheduled",0
"MergeTreeBackgroundExecutorThreads",48
"MergeTreeBackgroundExecutorThreadsActive",48
"MergeTreeBackgroundExecutorThreadsScheduled",48
"AsynchronousInsertThreads",0
"AsynchronousInsertThreadsActive",0
"AsynchronousInsertThreadsScheduled",0
"AsynchronousInsertQueueSize",0
"AsynchronousInsertQueueBytes",0
"StartupSystemTablesThreads",0
"StartupSystemTablesThreadsActive",0
"StartupSystemTablesThreadsScheduled",0
"AggregatorThreads",0
"AggregatorThreadsActive",0
"AggregatorThreadsScheduled",0
"DDLWorkerThreads",0
"DDLWorkerThreadsActive",0
"DDLWorkerThreadsScheduled",0
"StorageDistributedThreads",0
"StorageDistributedThreadsActive",0
"StorageDistributedThreadsScheduled",0
"DistributedInsertThreads",0
"DistributedInsertThreadsActive",0
"DistributedInsertThreadsScheduled",0
"StorageS3Threads",0
"StorageS3ThreadsActive",0
"StorageS3ThreadsScheduled",0
"ObjectStorageS3Threads",0
"ObjectStorageS3ThreadsActive",0
"ObjectStorageS3ThreadsScheduled",0
"ObjectStorageAzureThreads",0
"ObjectStorageAzureThreadsActive",0
"ObjectStorageAzureThreadsScheduled",0
"MergeTreePartsLoaderThreads",0
"MergeTreePartsLoaderThreadsActive",0
"MergeTreePartsLoaderThreadsScheduled",0
"MergeTreeOutdatedPartsLoaderThreads",0
"MergeTreeOutdatedPartsLoaderThreadsActive",0
"MergeTreeOutdatedPartsLoaderThreadsScheduled",0
"MergeTreeUnexpectedPartsLoaderThreads",0
"MergeTreeUnexpectedPartsLoaderThreadsActive",0
"MergeTreeUnexpectedPartsLoaderThreadsScheduled",0
"MergeTreePartsCleanerThreads",0
"MergeTreePartsCleanerThreadsActive",0
"MergeTreePartsCleanerThreadsScheduled",0
"DatabaseReplicatedCreateTablesThreads",0
"DatabaseReplicatedCreateTablesThreadsActive",0
"DatabaseReplicatedCreateTablesThreadsScheduled",0
"IDiskCopierThreads",0
"IDiskCopierThreadsActive",0
"IDiskCopierThreadsScheduled",0
"SystemReplicasThreads",0
"SystemReplicasThreadsActive",0
"SystemReplicasThreadsScheduled",0
"RestartReplicaThreads",0
"RestartReplicaThreadsActive",0
"RestartReplicaThreadsScheduled",0
"QueryPipelineExecutorThreads",0
"QueryPipelineExecutorThreadsActive",0
"QueryPipelineExecutorThreadsScheduled",0
"ParquetDecoderThreads",0
"ParquetDecoderThreadsActive",0
"ParquetDecoderThreadsScheduled",0
"ParquetEncoderThreads",0
"ParquetEncoderThreadsActive",0
"ParquetEncoderThreadsScheduled",0
"DWARFReaderThreads",0
"DWARFReaderThreadsActive",0
"DWARFReaderThreadsScheduled",0
"OutdatedPartsLoadingThreads",0
"OutdatedPartsLoadingThreadsActive",0
"OutdatedPartsLoadingThreadsScheduled",0
"DistributedBytesToInsert",0
"BrokenDistributedBytesToInsert",0
"DistributedFilesToInsert",0
"BrokenDistributedFilesToInsert",0
"TablesToDropQueueSize",0
"MaxDDLEntryID",0
"MaxPushedDDLEntryID",0
"PartsTemporary",0
"PartsPreCommitted",0
"PartsCommitted",25
"PartsPreActive",0
"PartsActive",25
"AttachedDatabase",5
"AttachedTable",128
"PartsOutdated",284
"PartsDeleting",0
"PartsDeleteOnDestroy",0
"PartsWide",76
"PartsCompact",233
"MMappedFiles",2
"MMappedFileBytes",498055184
"AsynchronousReadWait",0
"PendingAsyncInsert",0
"KafkaConsumers",0
"KafkaConsumersWithAssignment",0
"KafkaProducers",0
"KafkaLibrdkafkaThreads",0
"KafkaBackgroundReads",0
"KafkaConsumersInUse",0
"KafkaWrites",0
"KafkaAssignedPartitions",0
"FilesystemCacheReadBuffers",0
"CacheFileSegments",0
"CacheDetachedFileSegments",0
"FilesystemCacheSize",0
"FilesystemCacheSizeLimit",0
"FilesystemCacheElements",0
"FilesystemCacheDownloadQueueElements",0
"FilesystemCacheDelayedCleanupElements",0
"FilesystemCacheHoldFileSegments",0
"AsyncInsertCacheSize",0
"S3Requests",0
"KeeperAliveConnections",0
"KeeperOutstandingRequets",0
"ThreadsInOvercommitTracker",0
"IOUringPendingEvents",0
"IOUringInFlightEvents",0
"ReadTaskRequestsSent",0
"MergeTreeReadTaskRequestsSent",0
"MergeTreeAllRangesAnnouncementsSent",0
"CreatedTimersInQueryProfiler",166
"ActiveTimersInQueryProfiler",2
"RefreshableViews",0
"RefreshingViews",0
"StorageBufferFlushThreads",0
"StorageBufferFlushThreadsActive",0
"StorageBufferFlushThreadsScheduled",0
"SharedMergeTreeThreads",0
"SharedMergeTreeThreadsActive",0
"SharedMergeTreeThreadsScheduled",0
"SharedMergeTreeFetch",0
"CacheWarmerBytesInProgress",0
"DistrCacheOpenedConnections",0
"DistrCacheUsedConnections",0
"DistrCacheReadRequests",0
"DistrCacheWriteRequests",0
"DistrCacheServerConnections",0
"StorageConnectionsStored",0
"StorageConnectionsTotal",0
"DiskConnectionsStored",0
"DiskConnectionsTotal",0
"HTTPConnectionsStored",0
"HTTPConnectionsTotal",0
"AddressesActive",0
"AddressesBanned",0
"FilteringMarksWithPrimaryKey",0
"FilteringMarksWithSecondaryKeys",0
